Date,NY Conventional Gasoline Spot Price ($/gal),NY Ultra-Low Sulfur Diesel Spot Price ($/gal),WTI Crude Oil Spot Price ($/barrel),Brent Crude Oil Spot Price ($/barrel),NY Jet Fuel Price ($/gal)
06/24/2022,3.890,4.390,107.88,116.83,
06/17/2022,3.980,4.490,116.46,125.08,
06/10/2022,4.330,4.440,120.43,127.40,
06/03/2022,4.340,4.250,116.37,124.11,
05/27/2022,3.930,4.010,113.38,117.66,
05/20/2022,3.930,4.510,112.18,112.93,
05/13/2022,3.750,5.210,105.00,107.43,
05/06/2022,3.650,4.980,106.69,110.36,
04/29/2022,3.380,4.690,102.85,103.92,
04/22/2022,3.120,4.090,104.02,105.72,
04/15/2022,3.190,3.760,101.46,105.42,
04/08/2022,3.110,3.700,99.21,103.33,
04/01/2022,3.080,3.730,103.89,111.26,
03/25/2022,3.270,4.160,113.69,123.60,
03/18/2022,3.000,3.410,100.43,109.59,
03/15/2022,,,,,3.33
03/11/2022,3.310,3.880,113.39,122.29,
03/04/2022,3.170,3.500,106.80,114.43,
02/25/2022,2.780,2.860,92.18,99.36,
02/18/2022,2.730,2.880,92.89,97.80,
02/15/2022,,,,,2.79
02/11/2022,2.740,2.910,90.61,96.43,
02/04/2022,2.670,2.790,89.60,92.77,
01/28/2022,2.550,2.730,86.94,90.12,
01/21/2022,2.490,2.680,85.93,89.16,
01/15/2022,,,,,2.44
01/14/2022,2.410,2.590,81.52,85.07,
01/07/2022,2.320,2.440,77.86,80.50,
12/31/2021,2.300,2.360,76.05,78.16,
12/24/2021,2.210,2.270,71.63,73.91,
12/17/2021,2.210,2.230,71.18,73.76,
12/15/2021,,,,,2.2
12/10/2021,2.200,2.240,71.31,74.79,
12/03/2021,2.050,2.100,66.89,71.00,
11/26/2021,2.380,2.360,77.79,80.24,
11/19/2021,2.380,2.380,78.99,81.63,
11/15/2021,,,,,2.39
11/12/2021,2.430,2.460,81.93,83.39,
11/05/2021,2.500,2.460,81.79,82.52,
10/29/2021,2.550,2.530,83.84,84.12,
10/22/2021,2.570,2.570,83.48,84.98,
10/15/2021,2.500,2.560,81.18,83.87,2.36
10/08/2021,2.410,2.470,78.50,82.01,
10/01/2021,2.290,2.320,75.45,78.44,
09/24/2021,2.240,2.220,72.18,75.32,
09/17/2021,2.300,2.190,71.69,74.13,
09/15/2021,,,,,2.06
09/10/2021,2.290,2.130,68.98,72.01,
09/03/2021,2.320,2.140,69.15,73.02,
08/27/2021,2.230,2.070,67.59,71.02,
08/20/2021,2.120,1.990,65.05,68.08,
08/15/2021,,,,,1.98
08/13/2021,2.280,2.080,68.33,71.09,
08/06/2021,2.280,2.100,69.50,72.26,
07/30/2021,2.330,2.170,72.75,75.75,
07/23/2021,2.200,2.070,69.68,72.20,
07/16/2021,2.270,2.130,73.19,75.80,
07/15/2021,,,,,2
07/09/2021,2.220,2.120,73.35,76.13,
07/02/2021,2.220,2.140,74.07,76.26,
06/25/2021,2.210,2.150,73.48,75.41,
06/18/2021,2.120,2.100,71.55,73.11,
06/15/2021,,,,,1.97
06/11/2021,2.160,2.130,70.11,71.46,
06/04/2021,2.160,2.100,68.74,70.66,
05/28/2021,2.110,2.040,66.40,69.02,
05/21/2021,2.110,2.020,64.11,67.48,
05/15/2021,,,,,1.89
05/14/2021,2.140,2.040,65.07,68.73,
05/07/2021,2.120,1.990,65.10,68.99,
04/30/2021,2.020,1.920,63.47,66.96,
04/23/2021,1.980,1.870,62.18,65.34,
04/16/2021,2.000,1.860,61.93,64.69,
04/15/2021,,,,,1.76
04/09/2021,1.950,1.800,59.35,61.83,
04/02/2021,1.960,1.800,60.66,63.68,
03/26/2021,1.910,1.790,59.95,62.51,
03/19/2021,2.040,1.870,63.22,66.11,
03/15/2021,,,,,1.8
03/12/2021,2.080,1.930,65.02,68.15,
03/05/2021,1.940,1.870,62.29,65.94,
02/26/2021,1.900,1.890,62.30,65.86,
02/19/2021,1.810,1.830,60.17,63.90,
02/15/2021,,,,,1.65
02/12/2021,1.690,1.760,58.54,61.13,
02/05/2021,1.670,1.690,55.39,58.22,
01/29/2021,1.610,1.600,52.52,55.18,
01/22/2021,1.580,1.590,52.82,55.23,
01/15/2021,1.570,1.590,52.75,55.38,1.52
01/08/2021,1.500,1.530,50.09,53.31,
01/01/2021,1.420,1.480,47.98,50.82,
12/25/2020,1.400,1.480,47.73,50.61,
12/18/2020,1.390,1.480,47.97,51.05,
12/15/2020,,,,,1.44
12/11/2020,1.310,1.410,46.04,49.32,
12/04/2020,1.280,1.370,45.37,47.83,
11/27/2020,1.270,1.360,44.40,46.43,
11/20/2020,1.190,1.260,41.52,43.01,
11/15/2020,,,,,1.24
11/13/2020,1.190,1.230,40.66,41.87,
11/06/2020,1.120,1.140,37.71,38.64,
10/30/2020,1.120,1.120,37.32,37.91,
10/23/2020,1.190,1.160,40.43,41.00,
10/16/2020,1.230,1.180,40.33,41.32,
10/15/2020,,,,,1.22
10/09/2020,1.270,1.180,40.19,41.06,
10/02/2020,1.240,1.120,38.99,39.99,
09/25/2020,1.240,1.120,39.78,40.89,
09/18/2020,1.240,1.130,39.55,40.77,
09/15/2020,,,,,1.2
09/11/2020,1.160,1.080,37.38,39.45,
09/04/2020,1.250,1.170,41.84,43.06,
08/28/2020,1.320,1.220,42.93,45.26,
08/21/2020,1.270,1.220,42.73,44.79,
08/15/2020,,,,,1.29
08/14/2020,1.210,1.230,42.08,44.54,
08/07/2020,1.190,1.240,41.57,44.36,
07/31/2020,1.200,1.240,40.69,43.22,
07/24/2020,1.240,1.260,41.34,43.57,
07/17/2020,1.220,1.230,40.57,43.40,
07/15/2020,,,,,1.21
07/10/2020,1.230,1.240,40.44,43.06,
07/03/2020,1.170,1.190,39.85,42.30,
06/26/2020,1.180,1.180,39.22,41.69,
06/19/2020,1.160,1.180,38.35,40.95,
06/15/2020,,,,,1.09
06/12/2020,1.090,1.090,37.87,39.52,
06/05/2020,1.040,1.030,37.32,38.37,
05/29/2020,0.940,0.930,34.19,33.70,
05/22/2020,0.970,0.950,33.10,33.94,
05/15/2020,0.830,0.850,26.40,28.18,0.73
05/08/2020,0.830,0.850,23.46,23.57,
05/01/2020,0.650,0.690,15.71,17.05,
